path	manifest_type	roles	referenced_by	bytes	templated	git_blob_sha	source_revision
resources/testharness.js	support	harness	1	198291	no	c7ce4f51e1db075809f861255417c27478b2c179	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
resources/testharnessreport.js	support	harness-report	1	1231	no	405a2d8b06f00fe8292e0e9d5b917e193cfd416c	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/test-helpers.sub.js	support	page-script	1	10485	yes	74301523e7355ad8d62bcb568280edbc23fdaacf	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/testharness-helpers.js	support	page-script	1	5507	no	5f93a25438a0cbf067675d4715e695388dc6c7bc	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/worker-testharness.js	support	worker-script-harness	1	1768	no	73e97be1eaa44bbe96f8801e0c76c37772ac7d1f	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/install-event-type.https.html	testharness	case	1	1042	no	7e74af85c3aee401f99add7a2a0209ddbe700f86	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/install-event-type-worker.js	support	worker-script	1	432	no	1c94ae21ea9d88a8fa259a706fda665ef572dd5a	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
