path	manifest_type	roles	referenced_by	bytes	templated	git_blob_sha
resources/testharness.js	support	page-script	1	198291	no	c7ce4f51e1db075809f861255417c27478b2c179
resources/testharnessreport.js	support	page-script	1	1231	no	405a2d8b06f00fe8292e0e9d5b917e193cfd416c
service-workers/service-worker/update-not-allowed.https.html	testharness	case	1	5643	no	0a54aa9350382bb082f407a1ea30b265575baae9
service-workers/service-worker/resources/test-helpers.sub.js	support	page-script	1	10485	yes	74301523e7355ad8d62bcb568280edbc23fdaacf
service-workers/service-worker/resources/update-during-installation-worker.py	support	dynamic-handler	1	379	no	3e15926185642a240ffa0223a2836a12fa45bf6d
service-workers/service-worker/resources/update-during-installation-worker.js	support	worker-script	1	1706	no	f1997bd824e8e165cc119a52082d742bd63f4e4d
