path	manifest_type	roles	referenced_by	bytes	templated	git_blob_sha
common/utils.js	support	page-script	2	2503	no	d410b0753582e061572302f3ce9118e95635c6b1
resources/testharness.js	support	page-script	2	198291	no	c7ce4f51e1db075809f861255417c27478b2c179
resources/testharnessreport.js	support	page-script	2	1231	no	405a2d8b06f00fe8292e0e9d5b917e193cfd416c
service-workers/service-worker/update-import-scripts.https.html	testharness	case	1	5694	no	a2df529e90dfd31a75afdac093a5dd1b74d00134
service-workers/service-worker/update-missing-import-scripts.https.html	testharness	case	1	1144	no	66e8bfac751e835af8e543fc5289697c15ac118d
service-workers/service-worker/resources/test-helpers.sub.js	support	page-script	2	10485	yes	74301523e7355ad8d62bcb568280edbc23fdaacf
service-workers/service-worker/resources/update-worker-from-file.py	support	dynamic-handler	2	983	no	ac0850f47622f3c6f16fc25424fc2c23a5a40c28
service-workers/service-worker/resources/empty.js	support	worker-script	2	0	no	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391
service-workers/service-worker/resources/import-scripts-404.js	support	worker-script	1	25	no	19c7a4b8e561b3d95f10496e92a2c7264d693815
service-workers/service-worker/resources/404.py	support	dynamic-handler	1	259	no	1ee4af169e75bd185d91df78ccb51571bc124747
service-workers/service-worker/resources/import-scripts-404-after-update.js	support	worker-script	2	311	no	b569346035ac11c557a1e19d6bf9ba8b90597539
service-workers/service-worker/resources/import-scripts-404-after-update-plus-update-worker.js	support	worker-script	1	432	no	e9899d8e7274ea8b65623e019411700ec65dbc84
service-workers/service-worker/resources/update-worker.py	support	dynamic-handler	4	2257	no	5638a8849cb749471ef01413bb95386aa4857712
service-workers/service-worker/resources/import-scripts-cross-origin-worker.sub.js	support	worker-script	1	131	yes	b432854db8bc7f8292c43434d8c24a3ffe97dec0
service-workers/service-worker/resources/import-scripts-version.py	support	dynamic-handler	1	459	no	cde28544e60a0613debe98bfe6c44bdfb610317b
service-workers/service-worker/resources/update-missing-import-scripts-main-worker.py	support	dynamic-handler	1	555	no	1c447e118ee71765a18a3343c88e0fc0fd12ee27
service-workers/service-worker/resources/update-missing-import-scripts-imported-worker.py	support	dynamic-handler	1	376	no	1547cb5235aaa09101872b166565e4b830bc1948
