path	manifest_type	roles	referenced_by	bytes	templated	git_blob_sha	source_revision
resources/testharness.js	support	harness	1	198291	no	c7ce4f51e1db075809f861255417c27478b2c179	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
resources/testharnessreport.js	support	harness-report	1	1231	no	405a2d8b06f00fe8292e0e9d5b917e193cfd416c	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/test-helpers.sub.js	support	page-script	1	10485	yes	74301523e7355ad8d62bcb568280edbc23fdaacf	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/worker-testharness.js	support	worker-harness	1	1768	no	73e97be1eaa44bbe96f8801e0c76c37772ac7d1f	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/registration-attribute.https.html	testharness	case	1	4013	no	aa3c74a13bb2b1623696579b371486a40706dcf1	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/resources/registration-attribute-worker.js	support	worker-script	1	4674	no	315f43759324e46209db5c21da07571a6545b440	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/resources/registration-attribute-newer-worker.js	support	worker-script	1	1118	no	44f3e2e8e9bdbe8e756ecd94c758bc752a5fc1a3	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
