path	manifest_type	roles	referenced_by	bytes	templated	git_blob_sha	source_revision
resources/testharness.js	support	harness	1	198291	no	c7ce4f51e1db075809f861255417c27478b2c179	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
resources/testharnessreport.js	support	harness-report	1	1231	no	405a2d8b06f00fe8292e0e9d5b917e193cfd416c	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/resources/test-helpers.sub.js	support	page-script	1	10485	yes	74301523e7355ad8d62bcb568280edbc23fdaacf	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/unregister.https.html	testharness	case	1	4794	no	1a124d727687ecfc62bb1443bed2313312762997	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/resources/unregister-worker.js	support	worker-script	1	695	no	6da397dd15268bec568fef1b5f8112d862e88970	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
service-workers/service-worker/ServiceWorkerGlobalScope/resources/unregister-controlling-worker.html	support	iframe	1	0	no	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	04067ce9c7c2165e71ad7d0dde10a4c5cb394a83
