# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text-decor_text-decoration-subelements-002_html | self-fail | 0.90% | 4.30% |
| css_css-text-decor_text-decoration-subelements-003_html | self-fail | 1.24% | 3.30% |
| css_css-text-decor_text-decoration-subelements-004_html | POLLUTED | 0.23% | 3.27% |
| css_css-text-decor_text-decoration-subelements-005_html | self-fail | 1.74% | 1.83% |
| css_css-text-decor_text-decoration-thickness-calc_html | POLLUTED | 0.18% | 1.94% |
| css_css-text-decor_text-decoration-thickness-fixed_html | POLLUTED | 0.00% | 5.29% |
| css_css-text-decor_text-decoration-thickness-from-font-variable_html | POLLUTED | 0.00% | 2.58% |
| css_css-text-decor_text-decoration-thickness-from-zero-sized-font_html | self-pass | 0.00% | 0.00% |
| css_css-text-decor_text-decoration-thickness-ink-skip-dilation_html | self-fail | 1.38% | 3.88% |
| css_css-text-decor_text-decoration-thickness-length-rounding-001_html | POLLUTED | 0.00% | 12.20% |
| css_css-text-decor_text-decoration-thickness-length-rounding-002_html | POLLUTED | 0.00% | 12.36% |
| css_css-text-decor_text-decoration-thickness-length-rounding-min-val_html | POLLUTED | 0.00% | 12.00% |
| css_css-text-decor_text-decoration-thickness-linethrough-001_html | self-fail | 0.50% | 1.54% |
| css_css-text-decor_text-decoration-thickness-non-inherit_html | self-pass | 0.00% | 0.94% |
| css_css-text-decor_text-decoration-thickness-overline-001_html | self-fail | 0.50% | 1.54% |
| css_css-text-decor_text-decoration-thickness-percent-001_html | POLLUTED | 0.00% | 2.57% |
| css_css-text-decor_text-decoration-thickness-scroll-001_html | self-fail | 2.97% | 3.69% |
| css_css-text-decor_text-decoration-thickness-underline-001_html | POLLUTED | 0.33% | 1.38% |
| css_css-text-decor_text-decoration-thickness-vertical-001_html | self-pass | 0.37% | 0.85% |
| css_css-text-decor_text-decoration-thickness-vertical-002_html | self-pass | 0.34% | 0.53% |
| css_css-text-decor_text-emphasis-color-001_xht | self-fail | 1.01% | 4.59% |
| css_css-text-decor_text-emphasis-color-property-001_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-color-property-001a_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-color-property-001b_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-color-property-002_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-line-height-001a_html | self-fail | 1.96% | 2.19% |
| css_css-text-decor_text-emphasis-line-height-001b_html | self-fail | 1.96% | 2.19% |
| css_css-text-decor_text-emphasis-line-height-001z_html | self-fail | 1.89% | 1.71% |
| css_css-text-decor_text-emphasis-line-height-002a_html | self-fail | 1.95% | 2.16% |
| css_css-text-decor_text-emphasis-line-height-002b_html | self-fail | 1.95% | 2.16% |
| css_css-text-decor_text-emphasis-line-height-003a_html | self-fail | 1.60% | 1.67% |
| css_css-text-decor_text-emphasis-line-height-003b_html | self-fail | 1.77% | 1.76% |
| css_css-text-decor_text-emphasis-line-height-003c_html | self-fail | 1.96% | 2.00% |
| css_css-text-decor_text-emphasis-line-height-003d_html | self-fail | 1.99% | 2.02% |
| css_css-text-decor_text-emphasis-line-height-004a_html | self-fail | 1.59% | 1.68% |
| css_css-text-decor_text-emphasis-line-height-004b_html | self-fail | 1.69% | 1.74% |
| css_css-text-decor_text-emphasis-line-height-004c_html | self-fail | 1.94% | 1.99% |
