# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_font-palette-20_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-21_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-23_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-23b_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-24_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-25_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-26_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-27_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-28_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-29_html | POLLUTED | 0.00% | 1.09% |
| css_css-fonts_font-palette-2_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-30_html | self-fail | 0.62% | 1.11% |
| css_css-fonts_font-palette-31_html | self-fail | 1.88% | 2.93% |
| css_css-fonts_font-palette-32_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-33_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-34_html | self-pass | 0.00% | 0.47% |
| css_css-fonts_font-palette-35_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-palette-36_html | POLLUTED | 0.10% | 1.45% |
| css_css-fonts_font-palette-add-2_html | self-pass | 0.00% | 0.47% |
| css_css-fonts_font-palette-empty-font-family_html | self-pass | 0.05% | 0.49% |
| css_css-fonts_font-palette-modify-2_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-non-ident-font-family_html | self-pass | 0.00% | 0.47% |
| css_css-fonts_font-palette-remove-2_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_font-palette-values-relative-colors_html | POLLUTED | 0.00% | 2.17% |
| css_css-fonts_font-palette_html | self-pass | 0.00% | 0.49% |
| css_css-fonts_font-size-adjust-001_html | self-fail | 1.30% | 2.13% |
| css_css-fonts_font-size-adjust-002_html | self-fail | 3.46% | 4.37% |
| css_css-fonts_font-size-adjust-005_xht | self-fail | 8.33% | 8.75% |
| css_css-fonts_font-size-adjust-006_xht | self-pass | 0.00% | 0.83% |
| css_css-fonts_font-size-adjust-007_xht | self-pass | 0.00% | 0.83% |
| css_css-fonts_font-size-adjust-008_xht | self-pass | 0.00% | 0.83% |
| css_css-fonts_font-size-adjust-009_html | POLLUTED | 0.00% | 50.87% |
| css_css-fonts_font-size-adjust-010_html | POLLUTED | 0.00% | 50.64% |
| css_css-fonts_font-size-adjust-011_html | POLLUTED | 0.00% | 52.41% |
| css_css-fonts_font-size-adjust-012_html | POLLUTED | 0.43% | 11.16% |
| css_css-fonts_font-size-adjust-013_html | POLLUTED | 0.43% | 11.13% |
