# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_floats_float-nowrap-5_html | self-pass | 0.12% | 0.10% |
| css_CSS2_floats_float-root_html | self-pass | 0.00% | 0.06% |
| css_CSS2_floats_float-table-align-left-quirk_html | self-pass | 0.06% | 0.13% |
| css_CSS2_floats_float-with-absolutely-positioned-child-with-static-inset_html | self-pass | 0.00% | 0.00% |
| css_CSS2_floats_floats-in-table-caption-001_html | POLLUTED | 0.44% | 2.02% |
| css_CSS2_floats_floats-line-wrap-shifted-001_html | self-pass | 0.08% | 0.31% |
| css_CSS2_floats_floats-placement-005_html | self-pass | 0.00% | 0.00% |
| css_CSS2_floats_floats-placement-vertical-003_xht | self-pass | 0.00% | 0.27% |
| css_CSS2_floats_floats-placement-vertical-004_xht | self-pass | 0.00% | 0.21% |
| css_CSS2_floats_floats-rule3-outside-left-001_xht | self-pass | 0.00% | 0.00% |
| css_CSS2_floats_floats-rule3-outside-left-002_xht | self-fail | 0.99% | 0.00% |
| css_CSS2_fonts_font-003_xht | POLLUTED | 0.00% | 2.55% |
| css_CSS2_fonts_font-051_xht | self-fail | 8.19% | 1.62% |
| css_CSS2_fonts_font-146_xht | POLLUTED | 0.16% | 1.06% |
| css_CSS2_fonts_font-148_xht | self-fail | 0.99% | 1.78% |
| css_CSS2_fonts_font-applies-to-001_xht | self-pass | 0.00% | 0.98% |
| css_CSS2_fonts_font-family-008_xht | POLLUTED | 0.00% | 1.71% |
| css_CSS2_fonts_font-family-009_xht | POLLUTED | 0.00% | 1.09% |
| css_CSS2_fonts_font-family-011_xht | self-fail | 0.54% | 26.54% |
| css_CSS2_fonts_font-family-013_xht | POLLUTED | 0.00% | 6.65% |
| css_CSS2_fonts_font-family-applies-to-001_xht | self-pass | 0.09% | 0.68% |
| css_CSS2_fonts_font-family-invalid-characters-001_xht | POLLUTED | 0.07% | 1.29% |
| css_CSS2_fonts_font-family-invalid-characters-002_xht | POLLUTED | 0.00% | 1.20% |
