# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text_hyphens_hyphens-vertical-002_html | POLLUTED | 0.10% | 1.20% |
| css_css-text_hyphens_hyphens-vertical-003_html | POLLUTED | 0.11% | 1.08% |
| css_css-text_hyphens_hyphens-vertical-004_html | POLLUTED | 0.11% | 1.23% |
| css_css-text_hyphens_hyphens-vs-float-clearance-001_html | self-fail | 0.52% | 0.87% |
| css_css-text_hyphens_hyphens-vs-float-clearance-002_html | self-pass | 0.49% | 0.95% |
| css_css-text_hyphens_i18n_hyphens-i18n-auto-005_html | self-fail | 0.70% | 2.10% |
| css_css-text_hyphens_i18n_hyphens-i18n-auto-006_html | self-fail | 0.96% | 2.73% |
| css_css-text_hyphens_i18n_hyphens-i18n-manual-005_html | self-fail | 0.70% | 2.11% |
| css_css-text_hyphens_lang-tag-case-insensitive_html | self-pass | 0.25% | 0.40% |
| css_css-text_i18n_css3-text-line-break-opclns-001_html | self-fail | 0.62% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-002_html | self-fail | 0.63% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-003_html | self-fail | 0.64% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-004_html | self-fail | 0.58% | 1.52% |
| css_css-text_i18n_css3-text-line-break-opclns-005_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-006_html | self-fail | 0.61% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-007_html | self-fail | 0.60% | 1.43% |
| css_css-text_i18n_css3-text-line-break-opclns-008_html | self-fail | 0.61% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-009_html | self-fail | 0.63% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-010_html | self-fail | 0.60% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-011_html | self-fail | 0.60% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-012_html | self-fail | 0.62% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-014_html | self-fail | 0.60% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-015_html | self-fail | 0.61% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-016_html | self-fail | 0.61% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-017_html | self-fail | 0.62% | 1.49% |
| css_css-text_i18n_css3-text-line-break-opclns-018_html | self-fail | 0.63% | 1.49% |
| css_css-text_i18n_css3-text-line-break-opclns-019_html | self-fail | 0.59% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-020_html | self-fail | 0.62% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-021_html | self-fail | 0.65% | 1.50% |
| css_css-text_i18n_css3-text-line-break-opclns-022_html | self-fail | 0.61% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-023_html | self-fail | 0.65% | 1.50% |
| css_css-text_i18n_css3-text-line-break-opclns-024_html | self-fail | 0.64% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-025_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-026_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-027_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-028_html | self-fail | 0.59% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-029_html | self-fail | 0.59% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-030_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-031_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-032_html | self-fail | 0.59% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-033_html | self-fail | 0.59% | 1.49% |
| css_css-text_i18n_css3-text-line-break-opclns-034_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-035_html | self-fail | 0.59% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-036_html | self-fail | 0.59% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-037_html | self-fail | 0.59% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-038_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-039_html | self-fail | 0.61% | 1.49% |
| css_css-text_i18n_css3-text-line-break-opclns-040_html | self-fail | 0.58% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-041_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-042_html | self-fail | 0.62% | 1.50% |
| css_css-text_i18n_css3-text-line-break-opclns-043_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-044_html | self-fail | 0.61% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-045_html | self-fail | 0.61% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-046_html | self-fail | 0.62% | 1.51% |
| css_css-text_i18n_css3-text-line-break-opclns-047_html | self-fail | 0.58% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-049_html | self-fail | 0.63% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-050_html | self-fail | 0.62% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-051_html | self-fail | 0.63% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-052_html | self-fail | 0.65% | 1.49% |
| css_css-text_i18n_css3-text-line-break-opclns-053_html | self-fail | 0.63% | 1.48% |
| css_css-text_i18n_css3-text-line-break-opclns-054_html | self-fail | 0.61% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-055_html | self-fail | 0.63% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-056_html | self-fail | 0.63% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-057_html | self-fail | 0.64% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-058_html | self-fail | 0.60% | 1.43% |
| css_css-text_i18n_css3-text-line-break-opclns-059_html | self-fail | 0.61% | 1.44% |
| css_css-text_i18n_css3-text-line-break-opclns-060_html | self-fail | 0.60% | 1.43% |
| css_css-text_i18n_css3-text-line-break-opclns-061_html | self-fail | 0.58% | 1.45% |
| css_css-text_i18n_css3-text-line-break-opclns-062_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-063_html | self-fail | 0.59% | 1.46% |
| css_css-text_i18n_css3-text-line-break-opclns-064_html | self-fail | 0.62% | 1.50% |
| css_css-text_i18n_css3-text-line-break-opclns-065_html | self-fail | 0.58% | 1.47% |
| css_css-text_i18n_css3-text-line-break-opclns-100_html | self-fail | 0.59% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-101_html | self-fail | 0.60% | 1.68% |
| css_css-text_i18n_css3-text-line-break-opclns-102_html | self-fail | 0.66% | 1.55% |
| css_css-text_i18n_css3-text-line-break-opclns-103_html | self-fail | 0.65% | 1.54% |
| css_css-text_i18n_css3-text-line-break-opclns-104_html | self-fail | 0.59% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-105_html | self-fail | 0.59% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-106_html | self-fail | 0.60% | 1.68% |
| css_css-text_i18n_css3-text-line-break-opclns-107_html | self-fail | 0.59% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-108_html | self-fail | 0.68% | 1.60% |
| css_css-text_i18n_css3-text-line-break-opclns-109_html | self-fail | 0.69% | 1.62% |
| css_css-text_i18n_css3-text-line-break-opclns-110_html | self-fail | 0.69% | 1.61% |
| css_css-text_i18n_css3-text-line-break-opclns-111_html | self-fail | 0.64% | 1.75% |
| css_css-text_i18n_css3-text-line-break-opclns-112_html | self-fail | 0.65% | 1.61% |
| css_css-text_i18n_css3-text-line-break-opclns-113_html | self-fail | 0.67% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-114_html | self-fail | 0.69% | 1.63% |
| css_css-text_i18n_css3-text-line-break-opclns-115_html | self-fail | 0.66% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-116_html | self-fail | 0.66% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-117_html | self-fail | 0.69% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-119_html | self-fail | 0.63% | 1.74% |
| css_css-text_i18n_css3-text-line-break-opclns-120_html | self-fail | 0.64% | 1.75% |
| css_css-text_i18n_css3-text-line-break-opclns-121_html | self-fail | 0.64% | 1.74% |
| css_css-text_i18n_css3-text-line-break-opclns-122_html | self-fail | 0.66% | 1.78% |
| css_css-text_i18n_css3-text-line-break-opclns-123_html | self-fail | 0.67% | 1.79% |
| css_css-text_i18n_css3-text-line-break-opclns-124_html | self-fail | 0.62% | 1.70% |
| css_css-text_i18n_css3-text-line-break-opclns-125_html | self-fail | 0.65% | 1.77% |
| css_css-text_i18n_css3-text-line-break-opclns-126_html | self-fail | 0.71% | 1.62% |
| css_css-text_i18n_css3-text-line-break-opclns-127_html | self-fail | 0.68% | 1.60% |
| css_css-text_i18n_css3-text-line-break-opclns-128_html | self-fail | 0.72% | 1.64% |
| css_css-text_i18n_css3-text-line-break-opclns-129_html | self-fail | 0.71% | 1.64% |
| css_css-text_i18n_css3-text-line-break-opclns-130_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-131_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-132_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-133_html | self-fail | 0.65% | 1.61% |
| css_css-text_i18n_css3-text-line-break-opclns-134_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-135_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-136_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-137_html | self-fail | 0.65% | 1.60% |
