# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-070_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-071_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-073_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-075_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-076_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-078_xht | POLLUTED | 0.00% | 3.35% |
| css_CSS2_backgrounds_background-080_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-081_xht | POLLUTED | 0.00% | 3.35% |
| css_CSS2_backgrounds_background-082_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-083_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-085_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-087_xht | self-pass | 0.00% | 0.96% |
| css_CSS2_backgrounds_background-090_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-093_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-095_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-096_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-097_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-101_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-103_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-104_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-106_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-107_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-109_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-111_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-114_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-117_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-120_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-128_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-130_xht | POLLUTED | 0.00% | 1.10% |
